# 춘천시 상권 현황

## 업종별 현황
총 영업 중 점포 수: 17,567개

- 음식: 5,753개
- 소매: 4,013개
- 수리·개인: 2,128개
- 과학·기술: 1,328개
- 교육: 1,272개
- 예술·스포츠: 797개
- 숙박: 760개
- 시설관리·임대: 672개
- 부동산: 460개
- 보건의료: 384개

## 주요 동별 상권

### 퇴계동 (2,134개 점포)
- 음식: 749개
- 소매: 395개
- 수리·개인: 371개
- 교육: 165개
- 예술·스포츠: 137개

### 석사동 (2,005개 점포)
- 음식: 666개
- 소매: 410개
- 교육: 291개
- 수리·개인: 252개
- 예술·스포츠: 121개

### 강남동 (1,508개 점포)
- 음식: 430개
- 소매: 341개
- 수리·개인: 184개
- 과학·기술: 149개
- 교육: 137개

### 동내면 (1,095개 점포)
- 음식: 354개
- 소매: 245개
- 수리·개인: 153개
- 과학·기술: 96개
- 교육: 78개

### 효자2동 (935개 점포)
- 음식: 254개
- 소매: 208개
- 과학·기술: 166개
- 수리·개인: 112개
- 숙박: 47개

### 후평1동 (906개 점포)
- 음식: 272개
- 소매: 176개
- 과학·기술: 153개
- 수리·개인: 145개
- 시설관리·임대: 56개

### 동면 (883개 점포)
- 음식: 298개
- 소매: 198개
- 수리·개인: 99개
- 교육: 89개
- 과학·기술: 70개

### 소양동 (873개 점포)
- 음식: 272개
- 소매: 257개
- 과학·기술: 97개
- 수리·개인: 70개
- 교육: 46개

### 신사우동 (842개 점포)
- 음식: 328개
- 소매: 168개
- 수리·개인: 104개
- 교육: 86개
- 예술·스포츠: 46개

### 후평3동 (766개 점포)
- 음식: 267개
- 소매: 144개
- 수리·개인: 124개
- 교육: 69개
- 예술·스포츠: 52개
