# 파주시 상권 현황

## 업종별 현황
총 영업 중 점포 수: 23,812개

- 음식: 6,918개
- 소매: 5,502개
- 수리·개인: 2,750개
- 과학·기술: 2,633개
- 교육: 1,982개
- 부동산: 1,064개
- 시설관리·임대: 1,049개
- 예술·스포츠: 1,030개
- 보건의료: 498개
- 숙박: 386개

## 주요 동별 상권

### 운정3동 (2,470개 점포)
- 음식: 680개
- 소매: 367개
- 수리·개인: 328개
- 과학·기술: 325개
- 교육: 281개

### 금촌1동 (2,388개 점포)
- 음식: 727개
- 소매: 637개
- 과학·기술: 273개
- 수리·개인: 266개
- 시설관리·임대: 128개

### 문산읍 (2,133개 점포)
- 음식: 812개
- 소매: 512개
- 수리·개인: 271개
- 교육: 132개
- 예술·스포츠: 97개

### 운정1동 (2,013개 점포)
- 음식: 600개
- 소매: 315개
- 수리·개인: 309개
- 과학·기술: 246개
- 교육: 230개

### 교하동 (1,950개 점포)
- 소매: 553개
- 과학·기술: 495개
- 음식: 410개
- 시설관리·임대: 143개
- 수리·개인: 118개

### 탄현면 (1,772개 점포)
- 소매: 596개
- 음식: 506개
- 과학·기술: 175개
- 숙박: 110개
- 수리·개인: 93개

### 운정2동 (1,673개 점포)
- 음식: 502개
- 교육: 348개
- 소매: 279개
- 수리·개인: 214개
- 과학·기술: 113개

### 운정5동 (1,663개 점포)
- 음식: 386개
- 교육: 318개
- 소매: 293개
- 과학·기술: 201개
- 수리·개인: 201개

### 금촌2동 (1,172개 점포)
- 음식: 345개
- 소매: 187개
- 과학·기술: 155개
- 교육: 130개
- 수리·개인: 125개

### 조리읍 (1,131개 점포)
- 소매: 325개
- 음식: 299개
- 수리·개인: 163개
- 과학·기술: 106개
- 교육: 68개
